dataset,market,category,position_change_metric,horizon,bottom_quartile_threshold,top_quartile_threshold,top_quartile_n,top_quartile_mean_return,top_quartile_median_return,top_quartile_hit_rate,top_quartile_stdev,bottom_quartile_n,bottom_quartile_mean_return,bottom_quartile_median_return,bottom_quartile_hit_rate,bottom_quartile_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,-1.4176902294088762,0.3142106795495643,133,0.001814430245490047,0.001832187658811879,0.5413533834586466,0.021074997232131902,132,0.0032317891581595494,0.005219285390562489,0.6515151515151515,0.02883867296387524,-0.0014173589126695023,-0.4564996616760632,0.6480307140673272
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,-1.4176902294088762,0.3142106795495643,133,0.007075605535221643,0.007695207896288414,0.631578947368421,0.02962316169785858,132,0.003668766066016725,0.007862009475766096,0.6363636363636364,0.036540916874077546,0.0034068394692049176,0.8333336495501135,0.40465658363677853
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,-1.4176902294088762,0.3142106795495643,133,0.012716355397263863,0.016542894928358365,0.6917293233082706,0.04223247443688228,132,0.012877773651389826,0.016182682214204713,0.6666666666666666,0.05008591927934244,-0.0001614182541259633,-0.028351764891326115,0.9773815947597329
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,-1.4176902294088762,0.3142106795495643,131,0.03631885049542357,0.04330945147165077,0.732824427480916,0.07121106216223268,129,0.04547993800998076,0.04890276601749943,0.8062015503875969,0.07316330561571176,-0.009161087514557187,-1.0229299618567378,0.30634096192849075
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1d_post_release,-0.9284873405508334,0.42397822544939245,133,0.00010234642924110884,0.0014687171966489831,0.6090225563909775,0.016449789054038887,133,0.0010910791757516541,0.000876077054501545,0.5338345864661654,0.009692686406528395,-0.0009887327465105452,-0.5972139206443393,0.5503645662752059
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2d_post_release,-0.9284873405508334,0.42397822544939245,133,0.0012282621462702578,0.002593033849604076,0.5789473684210527,0.01545114060450163,133,0.002880848717711263,0.0017721054624633137,0.5714285714285714,0.013468836475253935,-0.0016525865714410051,-0.929799376086184,0.3524749694379489
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,3d_post_release,-0.9284873405508334,0.42397822544939245,133,0.0013696843100833092,0.0044682365616222075,0.5789473684210527,0.02271373055779005,133,0.0037585586755149686,0.0032182229018784536,0.6240601503759399,0.016317138057841917,-0.0023888743654316594,-0.9850780035202219,0.32458575710471976
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1w_post_release,-0.9284873405508334,0.42397822544939245,133,0.0007058927565258566,0.0026047833293867395,0.5488721804511278,0.028943810129400928,133,0.005027173842452258,0.005917169216022922,0.6616541353383458,0.022957596557502884,-0.004321281085926402,-1.3489770609730152,0.17734433421630438
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2w_post_release,-0.9284873405508334,0.42397822544939245,133,0.004497858327051381,0.009620362714719333,0.6165413533834586,0.03832975427408148,133,0.005960668135932371,0.008448203684929823,0.6917293233082706,0.032325815858524266,-0.0014628098088809898,-0.33644955207661054,0.7365318879360738
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,4w_post_release,-0.9284873405508334,0.42397822544939245,131,0.012722518396418707,0.01866825032644548,0.7175572519083969,0.04814128779938525,133,0.013456442482898016,0.017388393791054613,0.7218045112781954,0.0486131251321666,-0.0007339240864793085,-0.12324824396462881,0.901910523591604
