dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,2d_post_release,253,0.000602661503488407,0.0009620259094491601,0.5573122529644269,0.01328763548707402,276,0.0023442142293072306,0.0023121461331034876,0.5978260869565217,0.013595835116902258,-0.0017415527258188236,-1.4892111134997628,0.1364317852080513
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,3d_post_release,253,0.0011310660316780202,0.0022321979409936077,0.5691699604743083,0.017775845504899513,276,0.0033886912748866058,0.002339421614374837,0.5869565217391305,0.01809798255698266,-0.0022576252432085853,-1.4465824547257733,0.14801390312778798
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,1w_post_release,253,0.001187230096864641,0.002119866017503025,0.5612648221343873,0.023675110705985495,276,0.004402132407967682,0.005381930115564537,0.6231884057971014,0.023556005447387875,-0.003214902311103041,-1.563894820326311,0.11784227112953306
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,2w_post_release,252,0.006182733825283651,0.008763448461619583,0.6468253968253969,0.02988777617250766,276,0.005064789097225098,0.007814622338334076,0.6521739130434783,0.03295025137010255,0.0011179447280585527,0.4088014298823972,0.6826853904821489
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,4w_post_release,251,0.010954857438208527,0.018169302969595735,0.701195219123506,0.04596076392257694,275,0.011110153828179986,0.015342038686444681,0.6727272727272727,0.046980426426479836,-0.00015529638997145885,-0.03829876836180826,0.9694494727723068
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,13w_post_release,247,0.03811348888000551,0.046053622888139856,0.7489878542510121,0.06744143034380237,269,0.03319276719645091,0.04330945147165077,0.7509293680297398,0.07475140320814701,0.004920721683554598,0.7860663414673328,0.43182862191939175
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1d_post_release,273,0.00031471877877563325,0.0008877005575269603,0.5494505494505495,0.010006617537525521,256,0.0006889323626506636,0.0011863588197734698,0.5859375,0.01373712430808879,-0.00037421358387503033,-0.3561632679561964,0.7217182985284345
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,2d_post_release,273,0.0009749613623289937,0.0009893460220886663,0.5531135531135531,0.012845324702767467,256,0.0020832501396701067,0.0026067939304353915,0.60546875,0.014098216512477406,-0.001108288777341113,-0.9431615125294318,0.34559829622960475
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,3d_post_release,273,0.002272152705593207,0.0025272041548163315,0.5714285714285714,0.016633061767012933,256,0.0023482062861574092,0.0020328948629702026,0.5859375,0.019313780948238157,-7.605358056420215e-05,-0.048386644311972475,0.9614081031330131
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1w_post_release,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,256,0.002869261549278541,0.0029477974321057143,0.58203125,0.02578139516466895,-9.090111584300186e-06,-0.004389066725573105,0.9964980426668985
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,2w_post_release,273,0.00602860815066871,0.008448203684929823,0.6556776556776557,0.027510787479443126,255,0.005137728194796271,0.008508474279050438,0.6431372549019608,0.035326619495521856,0.0008908799558724383,0.3217552960954721,0.7476380832627456
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,4w_post_release,272,0.01220684832701906,0.015640237836654025,0.6948529411764706,0.044610372423238856,254,0.009782278640908075,0.018073160106173436,0.6771653543307087,0.04840449794319322,0.0024245696861109854,0.5961497202847765,0.551075211254751
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,13w_post_release,267,0.03608175737588973,0.04505994311704198,0.7715355805243446,0.06738113833365632,249,0.03497613216804858,0.04596106876159389,0.7269076305220884,0.0754470185437806,0.001105625207841146,0.17511041417951878,0.8609928753752386
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,1d_post_release,258,-0.00038554316069044095,0.0010041894033820942,0.562015503875969,0.014068753197714752,271,0.0013348894719647658,0.0010166708878267539,0.5719557195571956,0.009450853226759275,-0.0017204326326552067,-1.642790171130953,0.10042635450451923
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,2d_post_release,258,0.0015176196917893155,0.002540847362779819,0.5930232558139535,0.013848094559927054,271,0.001505278993319997,0.001521501878770426,0.5645756457564576,0.013115132060689608,1.2340698469318415e-05,0.010512703565464685,0.9916122306315318
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,3d_post_release,258,0.002804040687562843,0.003241268492832017,0.6007751937984496,0.018485710301225845,271,0.001837623618051767,0.0014917819974038515,0.5571955719557196,0.01747238277507734,0.0009664170695110759,0.6172937791077466,0.5370409693305354
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,1w_post_release,258,0.00354060990402455,0.005195716791974503,0.627906976744186,0.02413380184427131,271,0.0022209608998800755,0.00265279543551733,0.5608856088560885,0.023197155704010333,0.0013196490041444747,0.6406395718019479,0.521756883185616
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,2w_post_release,258,0.005162578066185277,0.007775909976072359,0.6550387596899225,0.03288813421358533,270,0.006014761384184465,0.009121214523790444,0.6444444444444445,0.030171497813482145,-0.000852183317999188,-0.3098558602506622,0.7566705702674514
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,4w_post_release,256,0.010838994894212355,0.015394295216736409,0.69140625,0.04447829052298238,270,0.011222884543783236,0.018215204020930242,0.6814814814814815,0.04833174350331193,-0.00038388964957088156,-0.09485409408426994,0.9244307196578831
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,13w_post_release,252,0.03961835274747899,0.04664487901535419,0.7817460317460317,0.06914929131790586,264,0.03166311074561345,0.043902978775603785,0.7196969696969697,0.07325114025457374,0.007955242001865544,1.268995992513428,0.20444249337050002
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,1d_post_release,268,-0.0003855841160686971,0.0009335705116249038,0.5485074626865671,0.013938754757471904,261,0.001400848484868692,0.0010474498226595852,0.5862068965517241,0.009421352146192594,-0.001786432600937389,-1.7310244375490895,0.08344740596682519
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,2d_post_release,268,0.0016876633325328468,0.002672031858869328,0.6044776119402985,0.01413840395441009,261,0.0013302019714657458,0.0009893460220886663,0.5517241379310345,0.012760806379592612,0.000357461361067101,0.30542482732517007,0.7600426151116286
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,3d_post_release,268,0.0029909796217747293,0.0032340096714508215,0.6044776119402985,0.018766950103003645,261,0.001608643522021513,0.0016483516483518645,0.5517241379310345,0.01710633526085903,0.0013823360997532164,0.8857947612993979,0.37572813330669513
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,1w_post_release,268,0.003265127496448799,0.0052703764392249,0.6305970149253731,0.024563012306909993,261,0.002453270459990637,0.0026229431979760687,0.5555555555555556,0.02270438519181151,0.0008118570364581616,0.39490981696132743,0.6929094447464155
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,2w_post_release,267,0.0051465558762313155,0.008639330816211599,0.6479400749063671,0.03291463856671933,261,0.0060605375319994085,0.008006848810663492,0.6513409961685823,0.0300424609484764,-0.000913981655768093,-0.33339187068134946,0.7388384987679296
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,4w_post_release,266,0.011750751100967311,0.017440927367528225,0.6992481203007519,0.04492081563033623,260,0.010304852795702044,0.01545128459498546,0.6730769230769231,0.04804478655822984,0.0014458983052652672,0.35634346301552683,0.721583363911372
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,13w_post_release,261,0.039323759454753124,0.04596106876159389,0.7624521072796935,0.0708270829289063,255,0.03168386239810231,0.044843613967175955,0.7372549019607844,0.07175312958074145,0.007639897056650816,1.2169753533252072,0.22361359343331205
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1d_post_release,254,0.00237760575373793,0.002904178681226055,0.6338582677165354,0.0130001995387878,297,2.479750579744124e-06,0.0012609386427255842,0.5622895622895623,0.015476251170226904,0.0023751260031581855,1.9577590863447265,0.050258288346112505
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2d_post_release,254,0.0032007648596202405,0.003643350627195563,0.6417322834645669,0.016518906436507736,297,0.001863736840770758,0.0026357600388005054,0.5757575757575758,0.017544915038778187,0.0013370280188494824,0.9202839068904866,0.35742441664207275
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,3d_post_release,254,0.004375486904883904,0.004742584203771383,0.6062992125984252,0.020959549995521704,297,0.00339895602895798,0.0038430745724200577,0.5925925925925926,0.021454745096345932,0.0009765308759259244,0.5392490812222567,0.5897149980165175
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,254,0.006472727919325615,0.00787398748281476,0.6220472440944882,0.029072244818068374,297,0.002273378452648143,0.002568472498308161,0.5454545454545454,0.02781820236683008,0.0041993494666774725,1.7240149018100996,0.08470515303026287
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2w_post_release,253,0.009888314527771754,0.012727531285551708,0.6758893280632411,0.03899319773835423,297,0.006718248439871796,0.011344682530775474,0.6060606060606061,0.03781305018801824,0.003170066087899958,0.9635507179134165,0.3352712248073215
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,4w_post_release,253,0.0201600371253668,0.028033201663213214,0.6877470355731226,0.056531552848709476,295,0.013356147559619884,0.017443219772879104,0.6440677966101694,0.055813439013787575,0.006803889565746915,1.4128400691698768,0.15770275376443058
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,13w_post_release,247,0.05834271520788812,0.05581415341190965,0.7935222672064778,0.09350468136842398,291,0.04991320627886047,0.06161556468718077,0.7525773195876289,0.09114803972630064,0.008429508929027649,1.0541253666396597,0.2918255238587041
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1d_post_release,230,0.0018275393259800635,0.0023981812477665843,0.6130434782608696,0.013802990825502631,321,0.0005741878579320985,0.0015109456401620758,0.5825545171339563,0.014852057213297765,0.001253351468047965,1.0180986222419433,0.3086310900395554
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2d_post_release,230,0.002990885872443327,0.003383377362272566,0.6347826086956522,0.01533227174899833,321,0.002114082135172869,0.0029303917574288185,0.5856697819314641,0.0182398819835283,0.000876803737270458,0.611119401001071,0.5411205367431856
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,3d_post_release,230,0.003449691461766182,0.004255411398608189,0.5956521739130435,0.01942157730929868,321,0.004135310212569502,0.004271446373498078,0.6012461059190031,0.02243626406191542,-0.0006856187508033195,-0.38278417526291597,0.7018797958132053
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1w_post_release,230,0.005956545355919325,0.00787398748281476,0.6217391304347826,0.026925637445150995,321,0.0029571989410709034,0.003137477880844619,0.5514018691588785,0.029478859016583196,0.0029993464148484216,1.239092055733889,0.21531140870635362
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2w_post_release,230,0.009715161479183748,0.012948314327214439,0.6695652173913044,0.0395340429739579,320,0.007070550693612235,0.010780737716458821,0.615625,0.03751324363795293,0.0026446107855715136,0.7904746388657913,0.42925062761447585
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,4w_post_release,230,0.019996535116599042,0.026112165488743178,0.6652173913043479,0.0541537582244292,318,0.013966508949647443,0.021172457300990377,0.6635220125786163,0.05758210671082412,0.006030026166951599,1.2525292389814044,0.2103770809242494
