dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,4w,470,-0.1345870490089199,-0.08932644966367129,-0.393072506476637,-2.2151158602367227,0.02675211308658816,470,141,141,1.1748207546864642,1.6533731690436015,-0.47855241435713736,62.4113475177305,70.2127659574468,-4.003815442832834,-3.216462518539023,0.08932644966367129,0.47855241435713736,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,1w,464,-0.0973112050929575,-0.0989107167310931,-0.13754407396009155,-2.082595767035846,0.037288085386372974,464,139,139,0.34821176960177946,0.6050751180808185,-0.256863348479039,57.55395683453237,62.589928057553955,-1.4709213214754882,-1.5607630020677592,0.0989107167310931,0.256863348479039,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,1w,464,-0.0973112050929575,-0.0989107167310931,-0.13754407396009155,-2.082595767035846,0.037288085386372974,464,139,139,0.34821176960177946,0.6050751180808185,-0.256863348479039,57.55395683453237,62.589928057553955,-1.4709213214754882,-1.5607630020677592,0.0989107167310931,0.256863348479039,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,4w,461,-0.14204705167073606,-0.11518217706089065,-0.3040994325469648,-2.030677560940497,0.04228771405325987,461,139,139,1.3162189072356125,1.970707928681433,-0.6544890214458206,71.94244604316546,76.2589928057554,-2.05865332703482,-2.5830359957502935,0.11518217706089065,0.6544890214458206,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,4w,461,-0.14204705167073606,-0.11518217706089065,-0.3040994325469648,-2.030677560940497,0.04228771405325987,461,139,139,1.3162189072356125,1.970707928681433,-0.6544890214458206,71.94244604316546,76.2589928057554,-2.05865332703482,-2.5830359957502935,0.11518217706089065,0.6544890214458206,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,S&P 500,13w,464,-0.07529057499156441,-0.06560637329213885,-0.29097548138953866,-1.9871749386751374,0.04690301405059641,464,139,139,3.3544000966809335,4.3282382108639865,-0.973838114183053,74.10071942446042,79.85611510791367,-5.9699158541980495,-4.3120804566981885,0.06560637329213885,0.973838114183053,weak/mixed,2
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,1w,477,0.07667758915189674,0.08245150116571455,0.11604170036969293,1.894214045681197,0.058196604522748115,477,143,143,0.5892471988566073,0.016091803328081168,0.5731553955285261,62.23776223776224,55.24475524475524,-1.4378569967302488,-1.779689832031203,0.08245150116571455,0.5731553955285261,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow1_z,NASDAQ-100,13w,464,-0.0813160303871366,-0.044783020250482294,-0.429549401546024,-1.8278888549398853,0.06756623404890844,464,139,139,5.249814678643322,6.101698131156459,-0.8518834525131371,77.6978417266187,75.53956834532374,-5.478690501463696,-6.19101311565699,0.044783020250482294,0.8518834525131371,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow1_z,NASDAQ-100,13w,464,-0.0813160303871366,-0.044783020250482294,-0.429549401546024,-1.8278888549398853,0.06756623404890844,464,139,139,5.249814678643322,6.101698131156459,-0.8518834525131371,77.6978417266187,75.53956834532374,-5.478690501463696,-6.19101311565699,0.044783020250482294,0.8518834525131371,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,1w,464,-0.0830130889642847,-0.06904263676703415,-0.1002689215504324,-1.7778981031859815,0.07542059182217935,464,139,139,0.046553366178890096,0.4326580156050533,-0.3861046494261632,58.27338129496403,68.34532374100719,-1.5650123896071118,-0.8198841324865782,0.06904263676703415,0.3861046494261632,weak/mixed,2
