dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
legacy,Legacy,Noncommercial,noncommercial,S&P 500,4w,tie,Combined SP+NQ-VIX,negative,-0.8038275956370967,0.8038275956370967,0.14896233027008218,weak/mixed,sp500,S&P 500 only,negative,-0.8095986352854204,0.8095986352854204,0.14408148355534814,weak/mixed,-0.005771039648323706,0.753771254790777,1.5575988504278737,0.6805375700105313,1.4901362052959517,2,0.8095986352854204
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-1.2817655678413358,1.2817655678413358,0.5878115948368765,none,vix_inverse,"VIX only, inverted",negative,-2.522105332869806,2.522105332869806,0.15700091919177644,weak/mixed,-1.2403397650284704,4.74878515576918,6.030550723610515,4.750881937768889,7.272987270638695,1,2.522105332869806
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.20943898126436294,0.20943898126436294,0.4259358694368012,none,nq,NASDAQ-100 only,negative,-0.2516777290430895,0.2516777290430895,0.2692486075555705,none,-0.04223874777872655,0.3239729609825072,0.5334119422468702,0.26048048762269704,0.5121582166657865,2,0.2516777290430895
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-2.437001854354536,2.437001854354536,0.4998635346863477,weak/mixed,sp500,S&P 500 only,negative,-4.37603629494501,4.37603629494501,0.20129573741520296,weak/mixed,-1.9390344405904738,9.347861088502253,11.784862942856789,8.790200013296571,13.166236308241581,1,4.37603629494501
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,4w,single,Combined SP+NQ-VIX,negative,-0.6022460639117699,0.6022460639117699,0.43541075489751574,none,sp500,S&P 500 only,negative,-1.1761645294189111,1.1761645294189111,0.11107992240677707,weak/mixed,-0.5739184655071412,1.3989913469974533,2.0012374109092232,1.2379024439197452,2.4140669733386564,1,1.1761645294189111
legacy,Legacy,Nonreportable,nonreportable,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-0.7148326221875774,0.7148326221875774,0.6680184817872887,none,vix_inverse,"VIX only, inverted",negative,-2.267489496717016,2.267489496717016,0.0922742574819914,tentative,-1.5526568745294385,3.18809808554959,3.9029307077371675,3.042442660258003,5.309932156975019,1,2.267489496717016
legacy,Legacy,Nonreportable,nonreportable,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.13212897155232137,0.13212897155232137,0.5231174620795667,none,vix_inverse,"VIX only, inverted",negative,-0.2162572810136039,0.2162572810136039,0.37538613200725096,none,-0.08412830946128252,0.22022080704843203,0.3523497786007534,0.22649169431711755,0.44274897533072144,2,0.2162572810136039
legacy,Legacy,Nonreportable,nonreportable,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-1.1040158409560767,1.1040158409560767,0.6719178107355024,none,nq,NASDAQ-100 only,positive,3.9821511598558565,3.9821511598558565,0.012970230428811689,supported,-2.87813531889978,6.400859790645564,7.5048756316016405,8.967803083779906,4.985651923924049,1,3.9821511598558565
legacy,Legacy,Nonreportable,nonreportable,S&P 500,4w,single,Combined SP+NQ-VIX,negative,-0.42973532724757024,0.42973532724757024,0.4746383866559034,none,sp500,S&P 500 only,negative,-0.8993298696964396,0.8993298696964396,0.12116683015130385,weak/mixed,-0.46959454244886933,0.931344627261398,1.3610799545089682,0.7979766994898749,1.6973065691863145,1,0.8993298696964396
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,13w,combined,Combined SP+NQ-VIX,negative,-5.030618260610212,5.030618260610212,0.3169926195289686,weak/mixed,sp500,S&P 500 only,negative,-4.108247261370911,4.108247261370911,0.49107776467223524,weak/mixed,0.922370999239301,0.4526172340801098,5.483235494690322,1.2319955572506156,5.340242818621527,0,5.030618260610212
