dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
legacy,Legacy,Noncommercial,noncommercial,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.22194768861278621,0.22194768861278621,0.21967511236321383,none,sp500,S&P 500 only,negative,-0.28546781712934566,0.28546781712934566,0.11738922204874688,weak/mixed,-0.06352012851655944,0.1789468044917399,0.40089449310452613,0.1285226024342048,0.4139904195635505,2,0.28546781712934566
legacy,Legacy,Noncommercial,noncommercial,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-4.1850299379040505,4.1850299379040505,0.027335470739176096,supported,sp500,S&P 500 only,negative,-5.146745408164834,5.146745408164834,0.005268207641035866,supported,-0.9617154702607831,5.225834161589236,9.410864099493287,4.397092552371672,9.543837960536505,1,5.146745408164834
legacy,Legacy,Noncommercial,noncommercial,S&P 500,4w,tie,Combined SP+NQ-VIX,negative,-0.7992983553911671,0.7992983553911671,0.14923383431298184,weak/mixed,sp500,S&P 500 only,negative,-0.806405077302435,0.806405077302435,0.1443236475482178,weak/mixed,-0.0071067219112679325,0.753771254790777,1.5530696101819441,0.6805375700105313,1.4869426473129663,2,0.806405077302435
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-1.2836514771539909,1.2836514771539909,0.5867376459320996,none,vix_inverse,"VIX only, inverted",negative,-2.523623812794347,2.523623812794347,0.15620070836440408,weak/mixed,-1.2399723356403562,4.7468992464565245,6.030550723610515,4.749363457844348,7.272987270638695,1,2.523623812794347
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.20473875600091396,0.20473875600091396,0.43688666578649804,none,nq,NASDAQ-100 only,negative,-0.24453381975536148,0.24453381975536148,0.2845860457431341,none,-0.039795063754447524,0.3286731862459562,0.5334119422468702,0.26762439691042506,0.5121582166657865,2,0.24453381975536148
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-2.4198512025292978,2.4198512025292978,0.5025895390945323,weak/mixed,sp500,S&P 500 only,negative,-4.356291562664298,4.356291562664298,0.20282230939209214,weak/mixed,-1.9364403601350002,9.36501174032749,11.784862942856789,8.809944745577283,13.166236308241581,1,4.356291562664298
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,4w,single,Combined SP+NQ-VIX,negative,-0.6282484780568907,0.6282484780568907,0.41553881405541454,none,sp500,S&P 500 only,negative,-1.2003630933180156,1.2003630933180156,0.10365273894807368,weak/mixed,-0.572114615261125,1.3729889328523326,2.0012374109092232,1.2137038800206408,2.4140669733386564,1,1.2003630933180156
legacy,Legacy,Nonreportable,nonreportable,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-0.7024462336994435,0.7024462336994435,0.6729354208051627,none,vix_inverse,"VIX only, inverted",negative,-2.256902918832129,2.256902918832129,0.0932315655344538,tentative,-1.5544566851326853,3.200484474037724,3.9029307077371675,3.05302923814289,5.309932156975019,1,2.256902918832129
legacy,Legacy,Nonreportable,nonreportable,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.12473812054674399,0.12473812054674399,0.546528511568359,none,nq,NASDAQ-100 only,negative,-0.1948035273494496,0.1948035273494496,0.2781695345080125,none,-0.07006540680270562,0.2276116580540094,0.3523497786007534,0.16638345498228574,0.36118698233173535,2,0.1948035273494496
legacy,Legacy,Nonreportable,nonreportable,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-1.08744798819456,1.08744798819456,0.6759748692943798,none,nq,NASDAQ-100 only,positive,3.9836798615056104,3.9836798615056104,0.012626031654373574,supported,-2.8962318733110504,6.4174276434070805,7.5048756316016405,8.96933178542966,4.985651923924049,1,3.9836798615056104
