dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence
tff,TFF Detailed,Dealer / Intermediary,dealer,net_raw_bn,NASDAQ-100,1w,530,-0.004056569373852803,0.04435668040758892,-0.00011060549102302884,-0.09508454452421285,0.924247674133764,530,159,159,0.4620181750727887,0.43626516906968127,0.025753006003107426,62.264150943396224,59.74842767295597,-1.5584305195748949,-1.3646584930660255,0.04435668040758892,0.025753006003107426,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_raw_bn,NASDAQ-100,4w,527,0.0054026292319370025,0.09524896842538853,0.0002789443309919387,0.07425238860995716,0.9408095607805205,527,158,158,1.8781935517078652,1.738365804060056,0.13982774764780914,70.25316455696202,67.72151898734177,-3.240491790970598,-3.017582501759198,0.09524896842538853,0.13982774764780914,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_raw_bn,NASDAQ-100,13w,518,-0.021383694510770018,0.10040306547501236,-0.0019788452064456587,-0.18158867956583355,0.8559055335414032,518,156,156,6.707339232450162,5.767758742052091,0.9395804903980718,80.76923076923077,74.35897435897436,-4.82296689502143,-5.69201819774394,0.10040306547501236,0.9395804903980718,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_raw_bn,NASDAQ-100,26w,505,-0.008228516504513873,0.11359862694343971,-0.0010693451968306318,-0.06549675554371402,0.9477784894922389,505,152,152,13.049152276636955,11.357150115440307,1.6920021611966476,81.57894736842105,90.78947368421053,-5.561511006634928,-8.400534047472686,0.11359862694343971,1.6920021611966476,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,S&P 500,1w,517,0.009041605189247914,0.025380138937783663,0.000704871306695628,0.2308025531531939,0.8174681976539174,517,155,155,0.2118681381146684,0.28206992725486485,-0.07020178914019645,63.87096774193548,61.29032258064516,-1.487548960169832,-0.9467035429882905,0.025380138937783663,0.07020178914019645,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,S&P 500,4w,514,0.05243391549345939,0.0875376142621927,0.007935581768666333,0.7858102814623635,0.4319786422681107,514,154,154,1.6144697029079083,0.7270024788119769,0.8874672240959314,72.72727272727273,70.77922077922078,-2.9980661372868185,-2.5252122264425263,0.0875376142621927,0.8874672240959314,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,S&P 500,13w,505,0.13380951157892373,0.15208436992767602,0.033310585481667696,1.3961718851805036,0.16266274085752253,505,152,152,4.652802843452937,2.373633170145992,2.2791696733069453,74.3421052631579,76.31578947368422,-5.271041932272549,-5.250373994560668,0.15208436992767602,2.2791696733069453,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,S&P 500,26w,492,-0.008691078333777235,-0.10280673757275242,-0.0028339213569965127,-0.061562492985769435,0.9509112465216019,492,148,148,6.170988845940498,8.141693110674415,-1.970704264733918,70.27027027027027,83.1081081081081,-7.5526260046689355,-6.946849940289294,0.10280673757275242,1.970704264733918,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,NASDAQ-100,1w,517,0.008441687622494183,0.015137910486747693,0.0008603446033482245,0.212196687186506,0.8319535911366933,517,155,155,0.3161021353201172,0.4880949342750575,-0.1719927989549403,63.2258064516129,60.64516129032258,-1.8173259222497509,-1.3099403258584652,0.015137910486747693,0.1719927989549403,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,NASDAQ-100,4w,514,0.06892688972188192,0.09287581842294149,0.013156334606712635,1.0067620583712555,0.31404913166829507,514,154,154,2.2808849316779254,1.242366867765809,1.0385180639121163,74.02597402597402,66.88311688311688,-3.609517536155414,-3.1124001442829456,0.09287581842294149,1.0385180639121163,none
