dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,26w,505,92,413,7.5667476670872205,6.619554780858124,0.9471928862290966,83.69565217391305,78.93462469733656,-7.566439834954268,-6.362933519338515,0.336469215363813,0.7365170622756452,positive,0.9471928862290966,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,26w,505,85,420,7.861293746227705,6.575730812945415,1.2855629332822902,87.05882352941177,78.33333333333333,-7.347218719495368,-6.427358136060698,0.49139864297866664,0.6231445238472892,positive,1.2855629332822902,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,26w,505,146,359,6.019716208744964,7.10623493980408,-1.0865187310591153,80.82191780821918,79.38718662952647,-6.6918264277591275,-6.537597074790436,-0.4747799177611197,0.634943848343539,negative,1.0865187310591153,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,26w,505,81,424,7.010288170810505,6.750432943468818,0.25985522734168764,88.88888888888889,78.06603773584906,-5.503051806496281,-6.78834153768019,0.17734649255503418,0.8592362337513333,positive,0.25985522734168764,none
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,1w,530,115,415,0.3828820785896346,0.39949371859447663,-0.016611640004842054,60.0,60.0,-1.4854801817595011,-1.4015267876809623,-0.05752721506635037,0.9541252275130234,negative,0.016611640004842054,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,1w,530,108,422,0.27658422838775365,0.4264223592147829,-0.14983813082702924,56.481481481481474,60.90047393364929,-1.5902384325171388,-1.3761092110855238,-0.5020899050134402,0.6156042809300839,negative,0.14983813082702924,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,1w,530,163,367,0.4777903212880786,0.3595136509116048,0.11827667037647377,62.57668711656442,58.855585831062676,-1.1916865957162186,-1.521032486888824,0.45266511478338417,0.6507899032571218,positive,0.11827667037647377,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,1w,530,95,435,0.020292059325113663,0.4779162910773103,-0.45762423175219663,53.68421052631579,61.37931034482759,-1.5354590169653466,-1.3944717958120325,-1.5169738715410332,0.12927328099284852,negative,0.45762423175219663,weak/mixed
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,4w,527,114,413,1.600630750414349,1.5748389763870276,0.025791774027321468,62.28070175438597,69.97578692493947,-3.347861921849974,-3.117094062208192,0.027871028907366736,0.9777650150464685,positive,0.025791774027321468,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,4w,527,107,420,1.4027226828986268,1.6256882755355362,-0.2229655926369094,60.747663551401864,70.23809523809523,-3.606460310976242,-3.0550591750200535,-0.228613009694403,0.819169712059813,negative,0.2229655926369094,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,4w,527,162,365,1.6870414925893154,1.5330950164263264,0.15394647616298895,68.51851851851852,68.21917808219177,-2.813409110430071,-3.323955701077284,0.20771800984968253,0.8354491545556935,positive,0.15394647616298895,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,4w,527,95,432,1.4828640166183464,1.6018711139267021,-0.11900709730835568,64.21052631578948,69.21296296296296,-3.1651996562801297,-3.167412359806176,-0.16087011600297751,0.8721956996842207,negative,0.11900709730835568,none
tff,TFF Detailed,Other Reportables,other_reportable,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,13w,518,105,413,6.215726192286251,4.914280669489632,1.3014455227966186,72.38095238095238,77.72397094430993,-6.199612991079919,-5.418558111101745,0.5088544262991347,0.6108542664404466,positive,1.3014455227966186,none
tff,TFF Detailed,Other Reportables,other_reportable,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,13w,518,98,420,6.197202841945168,4.940293543282495,1.2569092986626726,72.44897959183673,77.61904761904762,-6.657775368461943,-5.324671137712243,0.5288045159279154,0.5969410647152205,positive,1.2569092986626726,none
tff,TFF Detailed,Other Reportables,other_reportable,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,13w,518,158,360,5.029788248857462,5.2431739538049875,-0.21338570494752584,76.58227848101265,76.66666666666667,-5.468668395523062,-5.624372937377133,-0.1161008796076309,0.9075725917035988,negative,0.21338570494752584,none
tff,TFF Detailed,Other Reportables,other_reportable,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,13w,518,90,428,5.554612552684343,5.098911301279634,0.45570125140470896,78.88888888888889,76.16822429906543,-5.568472213339752,-5.578648048476248,0.23672757845089495,0.812868138475829,positive,0.45570125140470896,none
