dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,1w,466,-0.09350013553789584,-0.08584621870239044,-0.1476664034161869,-2.3472682341024522,0.01891163464312659,466,140,140,0.10428733294794139,0.7021993176275184,-0.5979119846795771,55.714285714285715,64.28571428571429,-1.9579663197142274,-1.1205096144310325,0.08584621870239044,0.5979119846795771,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,4w,472,-0.1313646126056249,-0.08496236019591004,-0.3846056435496679,-2.1546514077525725,0.031189122971989818,472,142,142,1.1184845669595838,1.5011133683310234,-0.3826288013714396,61.97183098591549,69.71830985915493,-4.063006378242995,-3.3133594061474656,0.08496236019591004,0.3826288013714396,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,1w,466,-0.09639164427890572,-0.09847931052985925,-0.13726917514825665,-2.0747186613127555,0.03801261681978756,466,140,140,0.38212301315169434,0.5706525915820718,-0.1885295784303775,57.85714285714286,62.142857142857146,-1.4861316121764603,-1.5797152562797303,0.09847931052985925,0.1885295784303775,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,1w,466,-0.09639164427890572,-0.09847931052985925,-0.13726917514825665,-2.0747186613127555,0.03801261681978756,466,140,140,0.38212301315169434,0.5706525915820718,-0.1885295784303775,57.85714285714286,62.142857142857146,-1.4861316121764603,-1.5797152562797303,0.09847931052985925,0.1885295784303775,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,4w,463,-0.14110195585010643,-0.1147203879757689,-0.3007798657651351,-2.021751703984509,0.0432020094474548,463,139,139,1.3129911127216511,1.970707928681433,-0.6577168159597819,71.22302158273382,76.2589928057554,-2.061346413066255,-2.5830359957502935,0.1147203879757689,0.6577168159597819,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,4w,463,-0.14110195585010643,-0.1147203879757689,-0.3007798657651351,-2.021751703984509,0.0432020094474548,463,139,139,1.3129911127216511,1.970707928681433,-0.6577168159597819,71.22302158273382,76.2589928057554,-2.061346413066255,-2.5830359957502935,0.1147203879757689,0.6577168159597819,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,S&P 500,13w,466,-0.07560936745157934,-0.06681303864854746,-0.2922213594288533,-1.9963871730389549,0.045891795919051445,466,140,140,3.4005478512944163,4.344287127783171,-0.9437392764887549,74.28571428571429,80.0,-5.927273598096635,-4.281279882007487,0.06681303864854746,0.9437392764887549,weak/mixed,2
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,1w,479,0.074723037430325,0.0814349105965182,0.11376729053800515,1.8489413640371317,0.0644662800086284,479,144,144,0.5930681287800332,0.015214957481988003,0.5778531712980453,62.5,54.861111111111114,-1.4278718786974,-1.8120113585861206,0.0814349105965182,0.5778531712980453,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow1_z,NASDAQ-100,13w,466,-0.081524121034813,-0.04486257763906104,-0.4304247309407264,-1.8350855540884383,0.06649301401459873,466,140,140,5.270687304846507,6.101920066537183,-0.8312327616906758,77.85714285714286,75.71428571428571,-5.454308690636469,-6.167768830304568,0.04486257763906104,0.8312327616906758,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow1_z,NASDAQ-100,13w,466,-0.081524121034813,-0.04486257763906104,-0.4304247309407264,-1.8350855540884383,0.06649301401459873,466,140,140,5.270687304846507,6.101920066537183,-0.8312327616906758,77.85714285714286,75.71428571428571,-5.454308690636469,-6.167768830304568,0.04486257763906104,0.8312327616906758,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,1w,466,-0.08475415324364878,-0.07084761650936025,-0.10263246354585874,-1.8164256275693638,0.06930510693608219,466,140,140,0.059902205017400005,0.4607993602663965,-0.4008971552489965,58.57142857142858,68.57142857142857,-1.5538337296813467,-0.8251632021985906,0.07084761650936025,0.4008971552489965,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow4_z,NASDAQ-100,1w,475,0.0730691139093902,0.039497365901723785,0.12557957548495416,1.7843855622845213,0.07436103546802178,475,143,143,0.5202327691227985,0.10983267576727922,0.41040009335551925,65.03496503496503,52.44755244755245,-1.1997111913116159,-2.03286474810313,0.039497365901723785,0.41040009335551925,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,NASDAQ-100,4w,475,0.0846089522195869,0.044717975131424996,0.300962379271339,1.783979509563114,0.07442699477615573,475,143,143,1.5653317032109648,1.552742289135774,0.012589414075190763,66.43356643356644,64.33566433566433,-3.356259293737232,-3.7785149349097034,0.044717975131424996,0.012589414075190763,weak/mixed,2
