dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
legacy,sp500,commercial,long_oi_pct_change,2d_post_release,235,-0.00030527709148904617,0.0003456030188890846,0.5148936170212766,0.012816840514452393,292,0.0028630074338996574,0.003032571938020312,0.6267123287671232,0.013746483936985035,-0.0031682845253887034,-2.7307009928358563,0.006319978244323413
legacy,sp500,commercial,long_oi_pct_change,3d_post_release,235,-8.675105367267652e-05,0.001160002288793871,0.5361702127659574,0.01696384634132577,292,0.004190184721449016,0.0035573432969732144,0.613013698630137,0.01849897462662721,-0.004276935775121693,-2.7627532197039466,0.00573160836085775
legacy,sp500,commercial,long_oi_pct_change,1w_post_release,235,3.2105570382933795e-05,0.0021165978258637086,0.5446808510638298,0.02395277248007237,292,0.005008143691130352,0.005074373601956617,0.6301369863013698,0.0232007521557959,-0.0049760381207474185,-2.4039016517796448,0.016221136606206076
legacy,sp500,commercial,long_oi_pct_change,2w_post_release,235,0.004453333827964607,0.008508474279050438,0.6595744680851063,0.031335709128331925,291,0.006389349975642488,0.008253249696973608,0.6391752577319587,0.03168113976872444,-0.0019360161476778808,-0.7009982060131382,0.4833041347852787
legacy,sp500,commercial,long_oi_pct_change,4w_post_release,234,0.009482667837396756,0.018568221104337312,0.6581196581196581,0.04566258314023031,289,0.012297108523507945,0.01573793021623282,0.7058823529411765,0.047351955900850284,-0.0028144406861111883,-0.6893447376477034,0.4906063509425204
legacy,sp500,commercial,long_oi_pct_change,13w_post_release,231,0.028080697125893513,0.04114791840804788,0.70995670995671,0.07318075992648881,283,0.04157920298052461,0.04890276601749943,0.7809187279151943,0.06953067885929043,-0.013498505854631096,-2.1272201445615755,0.033401796119624294
legacy,sp500,commercial,short_oi_pct_change,1d_post_release,247,0.0008511981787846449,0.0010166708878267539,0.5708502024291497,0.00964362095352463,280,0.0001324504325363058,0.0009899801597413882,0.5607142857142857,0.013681570074829529,0.0007187477462483391,0.7030902429131193,0.4819995123295206
legacy,sp500,commercial,short_oi_pct_change,2d_post_release,247,0.0017695282291260198,0.0014838253213316221,0.562753036437247,0.01310128923453931,280,0.0011685163628737403,0.00207639673021498,0.5892857142857143,0.013712854943680982,0.0006010118662522796,0.5141373722111621,0.6071559502173236
legacy,sp500,commercial,short_oi_pct_change,3d_post_release,247,0.0023428101340632894,0.002212693661259868,0.5465587044534413,0.018111469365593717,280,0.002230261921201433,0.0024346586757419963,0.6071428571428571,0.01782112306463996,0.00011254821286185625,0.07172464991557592,0.9428210388845447
legacy,sp500,commercial,short_oi_pct_change,1w_post_release,247,0.002821468487385828,0.002381353789092211,0.5587044534412956,0.022654893521676364,280,0.002760785894520545,0.005057511219714539,0.6214285714285714,0.024528353459888252,6.068259286528318e-05,0.029516658791528663,0.9764525329356935
