dataset,market,category,position_change_metric,horizon,pearson_r,observations
tff_disaggregated,nq,other_reportable,net_oi_pct_change,3d_post_release,-0.01934175530096549,549
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1w_post_release,0.005518361026143752,549
tff_disaggregated,nq,other_reportable,net_oi_pct_change,2w_post_release,-0.042732987307120704,548
tff_disaggregated,nq,other_reportable,net_oi_pct_change,4w_post_release,-0.04611540224082866,545
tff_disaggregated,nq,other_reportable,net_oi_pct_change,13w_post_release,-0.014757286650802556,536
tff_disaggregated,nq,other_reportable,long_oi_pct_change,1d_post_release,-0.002372630526066251,549
tff_disaggregated,nq,other_reportable,long_oi_pct_change,2d_post_release,-0.02491718228620623,549
tff_disaggregated,nq,other_reportable,long_oi_pct_change,3d_post_release,-0.0007775528250868886,549
tff_disaggregated,nq,other_reportable,long_oi_pct_change,1w_post_release,-0.016139169807830134,549
tff_disaggregated,nq,other_reportable,long_oi_pct_change,2w_post_release,0.01805834465901634,548
tff_disaggregated,nq,other_reportable,long_oi_pct_change,4w_post_release,0.010866657844110469,545
tff_disaggregated,nq,other_reportable,long_oi_pct_change,13w_post_release,-0.0012908820295006386,536
tff_disaggregated,nq,other_reportable,short_oi_pct_change,1d_post_release,0.07998479597479055,549
tff_disaggregated,nq,other_reportable,short_oi_pct_change,2d_post_release,0.07450916074576441,549
tff_disaggregated,nq,other_reportable,short_oi_pct_change,3d_post_release,0.021045701542329674,549
tff_disaggregated,nq,other_reportable,short_oi_pct_change,1w_post_release,-0.013424118991796456,549
tff_disaggregated,nq,other_reportable,short_oi_pct_change,2w_post_release,0.05546696213404348,548
tff_disaggregated,nq,other_reportable,short_oi_pct_change,4w_post_release,0.05594209073260069,545
tff_disaggregated,nq,other_reportable,short_oi_pct_change,13w_post_release,0.015730707431563788,536
tff_disaggregated,nq,non_reportable,net_oi_pct_change,1d_post_release,0.005617282963716025,549
tff_disaggregated,nq,non_reportable,net_oi_pct_change,2d_post_release,-0.060447987408144756,549
tff_disaggregated,nq,non_reportable,net_oi_pct_change,3d_post_release,-0.016430863823722813,549
tff_disaggregated,nq,non_reportable,net_oi_pct_change,1w_post_release,-0.026654150345556637,549
tff_disaggregated,nq,non_reportable,net_oi_pct_change,2w_post_release,-0.07588188035652427,548
tff_disaggregated,nq,non_reportable,net_oi_pct_change,4w_post_release,-0.0773749598672779,545
tff_disaggregated,nq,non_reportable,net_oi_pct_change,13w_post_release,-0.04671726649393712,536
tff_disaggregated,nq,non_reportable,long_oi_pct_change,1d_post_release,0.007790263311882508,549
tff_disaggregated,nq,non_reportable,long_oi_pct_change,2d_post_release,-0.0070830488810622,549
tff_disaggregated,nq,non_reportable,long_oi_pct_change,3d_post_release,0.059730988092192704,549
tff_disaggregated,nq,non_reportable,long_oi_pct_change,1w_post_release,0.04818060280941326,549
tff_disaggregated,nq,non_reportable,long_oi_pct_change,2w_post_release,0.0016630807085182843,548
tff_disaggregated,nq,non_reportable,long_oi_pct_change,4w_post_release,-0.047519223172731995,545
tff_disaggregated,nq,non_reportable,long_oi_pct_change,13w_post_release,-0.03250844145468192,536
tff_disaggregated,nq,non_reportable,short_oi_pct_change,1d_post_release,0.0010205638661872371,549
tff_disaggregated,nq,non_reportable,short_oi_pct_change,2d_post_release,0.06421851194969916,549
tff_disaggregated,nq,non_reportable,short_oi_pct_change,3d_post_release,0.07786872823349208,549
tff_disaggregated,nq,non_reportable,short_oi_pct_change,1w_post_release,0.0785860051346355,549
tff_disaggregated,nq,non_reportable,short_oi_pct_change,2w_post_release,0.09092769198168552,548
tff_disaggregated,nq,non_reportable,short_oi_pct_change,4w_post_release,0.04439338681397374,545
tff_disaggregated,nq,non_reportable,short_oi_pct_change,13w_post_release,0.02298296039260012,536
legacy,sp500,noncommercial,net_oi_pct_change,1d_post_release,0.09170455768774191,527
legacy,sp500,noncommercial,net_oi_pct_change,2d_post_release,0.12410820207930788,527
legacy,sp500,noncommercial,net_oi_pct_change,3d_post_release,0.11597905781677326,527
legacy,sp500,noncommercial,net_oi_pct_change,1w_post_release,0.05846460196200493,527
legacy,sp500,noncommercial,net_oi_pct_change,2w_post_release,0.05551653911891192,526
legacy,sp500,noncommercial,net_oi_pct_change,4w_post_release,0.041430784107997526,523
legacy,sp500,noncommercial,net_oi_pct_change,13w_post_release,0.02301409488161116,514
legacy,sp500,noncommercial,long_oi_pct_change,1d_post_release,0.08853518289124856,527
legacy,sp500,noncommercial,long_oi_pct_change,2d_post_release,0.048933443586779715,527
legacy,sp500,noncommercial,long_oi_pct_change,3d_post_release,0.08855955582207331,527
legacy,sp500,noncommercial,long_oi_pct_change,1w_post_release,0.09037764687778695,527
legacy,sp500,noncommercial,long_oi_pct_change,2w_post_release,0.11981472705171115,526
legacy,sp500,noncommercial,long_oi_pct_change,4w_post_release,0.07513592711272786,523
legacy,sp500,noncommercial,long_oi_pct_change,13w_post_release,0.02470453624566117,514
legacy,sp500,noncommercial,short_oi_pct_change,1d_post_release,-0.03271429217901176,527
legacy,sp500,noncommercial,short_oi_pct_change,2d_post_release,-0.10382203203798065,527
legacy,sp500,noncommercial,short_oi_pct_change,3d_post_release,-0.06104071742191131,527
legacy,sp500,noncommercial,short_oi_pct_change,1w_post_release,0.007649932649362805,527
legacy,sp500,noncommercial,short_oi_pct_change,2w_post_release,0.035790185160018216,526
legacy,sp500,noncommercial,short_oi_pct_change,4w_post_release,0.014985976474784323,523
legacy,sp500,noncommercial,short_oi_pct_change,13w_post_release,-0.005991222526464739,514
legacy,sp500,commercial,net_oi_pct_change,1d_post_release,-0.08828787652544476,527
legacy,sp500,commercial,net_oi_pct_change,2d_post_release,-0.10449329407229113,527
legacy,sp500,commercial,net_oi_pct_change,3d_post_release,-0.10235188616290776,527
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,-0.061612915291970445,527
legacy,sp500,commercial,net_oi_pct_change,2w_post_release,-0.05264915440568959,526
legacy,sp500,commercial,net_oi_pct_change,4w_post_release,-0.03452841015769294,523
legacy,sp500,commercial,net_oi_pct_change,13w_post_release,-0.002508584943085755,514
legacy,sp500,commercial,long_oi_pct_change,1d_post_release,-0.0192616383584636,527
legacy,sp500,commercial,long_oi_pct_change,2d_post_release,-0.10427945370642236,527
legacy,sp500,commercial,long_oi_pct_change,3d_post_release,-0.12413504040595558,527
legacy,sp500,commercial,long_oi_pct_change,1w_post_release,-0.10769717663864042,527
legacy,sp500,commercial,long_oi_pct_change,2w_post_release,-0.019046581094219514,526
legacy,sp500,commercial,long_oi_pct_change,4w_post_release,0.006372610201304142,523
legacy,sp500,commercial,long_oi_pct_change,13w_post_release,-0.0252015604455379,514
legacy,sp500,commercial,short_oi_pct_change,1d_post_release,0.08446215416152243,527
legacy,sp500,commercial,short_oi_pct_change,2d_post_release,0.022354259558252265,527
legacy,sp500,commercial,short_oi_pct_change,3d_post_release,0.000948400756829518,527
legacy,sp500,commercial,short_oi_pct_change,1w_post_release,-0.030834047290694406,527
legacy,sp500,commercial,short_oi_pct_change,2w_post_release,0.04315267139159964,526
legacy,sp500,commercial,short_oi_pct_change,4w_post_release,0.04613400544621283,523
legacy,sp500,commercial,short_oi_pct_change,13w_post_release,-0.021498107339357773,514
legacy,sp500,total_reportable,net_oi_pct_change,1d_post_release,-0.00988596722048288,527
legacy,sp500,total_reportable,net_oi_pct_change,2d_post_release,0.024926312967336724,527
legacy,sp500,total_reportable,net_oi_pct_change,3d_post_release,0.011286428418271089,527
legacy,sp500,total_reportable,net_oi_pct_change,1w_post_release,-0.019899399127277475,527
legacy,sp500,total_reportable,net_oi_pct_change,2w_post_release,-0.0038716177208382592,526
legacy,sp500,total_reportable,net_oi_pct_change,4w_post_release,0.009586661837373413,523
legacy,sp500,total_reportable,net_oi_pct_change,13w_post_release,0.04752562587655253,514
legacy,sp500,total_reportable,long_oi_pct_change,1d_post_release,0.08890058680348081,527
legacy,sp500,total_reportable,long_oi_pct_change,2d_post_release,0.003903101931985963,527
legacy,sp500,total_reportable,long_oi_pct_change,3d_post_release,-0.027307974170095405,527
legacy,sp500,total_reportable,long_oi_pct_change,1w_post_release,-0.0021172869148243256,527
legacy,sp500,total_reportable,long_oi_pct_change,2w_post_release,0.07838172189022985,526
legacy,sp500,total_reportable,long_oi_pct_change,4w_post_release,0.05647719743713614,523
legacy,sp500,total_reportable,long_oi_pct_change,13w_post_release,-0.0027436208587231265,514
legacy,sp500,total_reportable,short_oi_pct_change,1d_post_release,0.10283451928612888,527
legacy,sp500,total_reportable,short_oi_pct_change,2d_post_release,-0.015943137284409912,527
legacy,sp500,total_reportable,short_oi_pct_change,3d_post_release,-0.038243099977009185,527
legacy,sp500,total_reportable,short_oi_pct_change,1w_post_release,0.013793482835455752,527
legacy,sp500,total_reportable,short_oi_pct_change,2w_post_release,0.08676066581280305,526
legacy,sp500,total_reportable,short_oi_pct_change,4w_post_release,0.052339670760229176,523
legacy,sp500,total_reportable,short_oi_pct_change,13w_post_release,-0.040956834199600646,514
legacy,sp500,nonreportable,net_oi_pct_change,1d_post_release,0.009874928994306297,527
legacy,sp500,nonreportable,net_oi_pct_change,2d_post_release,-0.024939919582738935,527
legacy,sp500,nonreportable,net_oi_pct_change,3d_post_release,-0.011308117754412345,527
legacy,sp500,nonreportable,net_oi_pct_change,1w_post_release,0.019894520072120576,527
legacy,sp500,nonreportable,net_oi_pct_change,2w_post_release,0.003868597781994655,526
