market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
rty,Russell 2000,26w,score_intensity,Zero,108,8.808373,10.316992,78.703704,-8.268491,-27.683563,11.301382,0.779407,8.808373,0.0,,
rty,Russell 2000,52w,regime,Mixed,81,16.164048,11.601121,91.358025,-13.045537,-27.683563,15.842016,1.020328,16.164048,0.0,,
rty,Russell 2000,52w,score_sign,Zero,81,16.164048,11.601121,91.358025,-13.045537,-27.683563,15.842016,1.020328,16.164048,0.0,,
rty,Russell 2000,52w,score_intensity,Zero,81,16.164048,11.601121,91.358025,-13.045537,-27.683563,15.842016,1.020328,16.164048,0.0,,
dow,Dow Jones,1d,regime,Mixed,452,0.036872,0.079771,55.530973,-0.369553,-12.926546,1.301976,0.02832,0.036872,0.0,,
dow,Dow Jones,1d,score_sign,Zero,452,0.036872,0.079771,55.530973,-0.369553,-12.926546,1.301976,0.02832,0.036872,0.0,,
dow,Dow Jones,1d,score_intensity,Zero,452,0.036872,0.079771,55.530973,-0.369553,-12.926546,1.301976,0.02832,0.036872,0.0,,
dow,Dow Jones,2d,regime,Mixed,452,0.131788,0.150573,56.19469,-0.577606,-12.926546,1.483716,0.088823,0.131788,0.0,,
dow,Dow Jones,2d,score_sign,Zero,452,0.131788,0.150573,56.19469,-0.577606,-12.926546,1.483716,0.088823,0.131788,0.0,,
dow,Dow Jones,2d,score_intensity,Zero,452,0.131788,0.150573,56.19469,-0.577606,-12.926546,1.483716,0.088823,0.131788,0.0,,
dow,Dow Jones,3d,regime,Mixed,452,0.177106,0.16328,55.530973,-0.771549,-14.175594,2.009335,0.088142,0.177106,0.0,,
dow,Dow Jones,3d,score_sign,Zero,452,0.177106,0.16328,55.530973,-0.771549,-14.175594,2.009335,0.088142,0.177106,0.0,,
dow,Dow Jones,3d,score_intensity,Zero,452,0.177106,0.16328,55.530973,-0.771549,-14.175594,2.009335,0.088142,0.177106,0.0,,
dow,Dow Jones,1w,regime,Mixed,452,0.213453,0.235805,54.646018,-1.146092,-18.032863,2.541153,0.083998,0.213453,0.0,,
dow,Dow Jones,1w,score_sign,Zero,452,0.213453,0.235805,54.646018,-1.146092,-18.032863,2.541153,0.083998,0.213453,0.0,,
dow,Dow Jones,1w,score_intensity,Zero,452,0.213453,0.235805,54.646018,-1.146092,-18.032863,2.541153,0.083998,0.213453,0.0,,
dow,Dow Jones,2w,regime,Mixed,451,0.411167,0.546183,60.310421,-1.81062,-25.868378,3.370345,0.121995,0.411167,0.0,,
dow,Dow Jones,2w,score_sign,Zero,451,0.411167,0.546183,60.310421,-1.81062,-25.868378,3.370345,0.121995,0.411167,0.0,,
dow,Dow Jones,2w,score_intensity,Zero,451,0.411167,0.546183,60.310421,-1.81062,-25.868378,3.370345,0.121995,0.411167,0.0,,
dow,Dow Jones,4w,regime,Mixed,449,0.784598,1.464206,65.033408,-2.77115,-33.865517,4.86501,0.161274,0.784598,0.0,,
dow,Dow Jones,4w,score_sign,Zero,449,0.784598,1.464206,65.033408,-2.77115,-33.865517,4.86501,0.161274,0.784598,0.0,,
dow,Dow Jones,4w,score_intensity,Zero,449,0.784598,1.464206,65.033408,-2.77115,-33.865517,4.86501,0.161274,0.784598,0.0,,
