avg_adverse_move,avg_directional_return,directional_coverage_pct,directional_hit_rate,directional_n,drift_adjusted_accuracy_pct,drift_adjusted_n,edge_hac_estimable,edge_hac_p,edge_hac_t,evidence_grade,evidence_reason,hac_lags,horizon,market,model,negative_avg_return,negative_n,neutral_avg_return,neutral_n,observations,path_utility,pearson_r,positive_avg_return,positive_minus_negative,positive_n,score_hac_estimable,score_hac_p,score_hac_t,score_slope_pp_per_unit,spearman_r,stability_subperiods,status,subperiod_min_abs_spearman,subperiod_sign_agreement_pct,worst_adverse_move
-1.3866807592524846,0.4137975582148789,51.434878587196465,57.5107296137339,233,51.92307692307693,208,True,0.6674398645173492,0.42966428846261495,Weak/Mixed,evidence thresholds not met,1,1w,nq,new_structural_tactical,0.4133413114429607,40,0.21291812175709313,220,453,-0.07154070752349068,0.042945700226226145,0.5852253032216851,0.17188399177872438,193,True,0.287243111534848,1.0641889504985496,0.270448127914328,0.045960617783231995,3,exploratory_release_aligned_hac,0.021335018271468224,100.0,-8.315440882128167
-1.4440273946265054,-0.012456028452766901,43.75,48.57142857142857,35,40.0,25,True,0.14649294431593368,-1.4520311491657176,Weak/Mixed,evidence thresholds not met,1,1w,nq,new_release_decision,2.0919808021701014,4,0.6023709169997026,45,80,-0.5178656165720438,-0.1635999991811034,0.2558697488010827,-1.8361110533690188,31,True,0.11130855805230462,-1.5923389837948128,-1.041276813634168,-0.09488432186130745,3,exploratory_release_aligned_hac,0.10925429926887409,66.66666666666666,-4.931279721546211
-3.3607781569027995,0.6271470502165152,70.0,55.23809523809524,315,56.52173913043478,299,True,0.7073238380403029,0.3754526725649734,Weak/Mixed,evidence thresholds not met,4,4w,nq,old_tff,1.2902055252889983,109,1.7172397739738443,135,450,-0.5491253046994645,0.04978194781809322,1.641668558615064,0.35146303332606577,206,True,0.3955202176911676,0.8496490774163364,0.20738522657410902,0.07651698789334871,3,exploratory_release_aligned_hac,0.16281365768583733,66.66666666666666,-20.43288688797433
-3.7802079022473922,0.0774148474693437,44.22222222222222,53.266331658291456,199,53.2258064516129,186,True,0.9021350156124,-0.12296474481464713,Weak/Mixed,evidence thresholds not met,4,4w,nq,old_legacy,1.1650085408937918,86,1.9715397256475755,251,450,-1.2456579183172436,0.026354909442444792,1.0229760102943848,-0.14203253059940701,113,True,0.6250024047212235,0.48877301485172187,0.148505281506216,0.02910154184743094,3,exploratory_release_aligned_hac,0.03393498439205093,100.0,-15.54751579504854
-3.2822518432826624,1.244660420672843,56.888888888888886,58.59375,256,53.67965367965368,231,True,0.8029032802177044,0.24959149016140705,Weak/Mixed,evidence thresholds not met,4,4w,nq,new_structural,1.6711629802017247,45,1.2453905098312883,194,450,0.09587227552391142,0.04516784482221468,1.8665184919494098,0.19535551174768506,211,True,0.42114076418558133,0.8044437131922457,0.574502320247584,0.07503620176408388,3,exploratory_release_aligned_hac,0.03841309654774129,100.0,-27.050224552609315
-3.220240735733878,1.414581624620869,51.33333333333333,59.307359307359306,231,54.85436893203883,206,True,0.6003883224662632,0.5238421665949351,Weak/Mixed,evidence thresholds not met,4,4w,nq,new_structural_tactical,1.5734533904971335,40,1.1780770241574505,219,450,0.28749736711401175,0.04992214511674505,2.0403481199335394,0.46689472943640586,191,True,0.3756546651845762,0.8859310832689281,0.6308154223883967,0.08428048580707365,3,exploratory_release_aligned_hac,0.06574117880926263,100.0,-15.105173254895298
-2.5408041641523234,2.0296200992435365,42.30769230769231,63.63636363636363,33,39.130434782608695,23,True,0.45725860320323913,0.7433685110875172,Weak/Mixed,evidence thresholds not met,4,4w,nq,new_release_decision,1.5824674061673396,4,2.364350846640714,45,78,1.1403386417902235,-0.0036649917615777794,2.5278390655071052,0.9453716593397656,29,True,0.9764075795831259,-0.029573024059015993,-0.04025196366371211,0.04749847039888157,3,exploratory_release_aligned_hac,0.06884752754836009,33.33333333333333,-8.827454746267648
-6.491689443331559,1.7636804986837937,69.54545454545455,59.80392156862745,306,52.41379310344828,290,True,0.7837742872881869,0.2744038465720255,Weak/Mixed,evidence thresholds not met,13,13w,nq,old_tff,4.762517960503224,108,5.087479166805265,134,440,-0.5084108064822517,0.09568683282298691,5.323425112785803,0.5609071522825788,198,True,0.23055473282776492,1.198931112443273,0.6537725466005451,0.09758458752633269,3,exploratory_release_aligned_hac,0.06760321267197034,100.0,-31.436754940983857
-7.383015260183777,0.5379938643872889,43.40909090909091,53.403141361256544,191,54.49438202247191,178,True,0.9476380786411067,-0.06567311333237259,Weak/Mixed,evidence thresholds not met,13,13w,nq,old_legacy,4.868758506136432,83,5.3780786357478805,249,440,-2.046061476677033,0.06846053902661495,4.6931831861786675,-0.17557531995776454,108,True,0.28086745206307556,1.0783727291940417,0.6477305736547757,0.04572552541105625,3,exploratory_release_aligned_hac,0.09395210738757569,100.0,-31.436754940983857
-5.716210272035988,4.754185844734948,55.90909090909091,71.54471544715447,246,63.348416289592755,221,True,0.1967881685367962,1.2907563775012958,Tentative,positive but not fully supported,13,13w,nq,new_structural,3.884842919778772,45,3.767766700169876,194,440,2.7535122495223527,0.16070208778590772,6.688296762163392,2.80345384238462,201,True,0.028738095453870828,2.1870606677735256,3.4185658896046958,0.18492044822326748,3,exploratory_release_aligned_hac,0.07512435103446295,100.0,-27.321329484453816
-5.5554973941669,4.930816537387015,50.227272727272734,71.94570135746606,221,65.3061224489796,196,True,0.12347489164257551,1.5403506998293608,Tentative,positive but not fully supported,13,13w,nq,new_structural_tactical,3.7471094639019946,40,3.9298315458591437,219,440,2.9863924494286,0.15303845058161647,6.848590239329339,3.1014807754273446,181,True,0.02564453945819168,2.231552719837479,3.2378139802490695,0.18544981726874518,3,exploratory_release_aligned_hac,0.07224809699311742,100.0,-26.105046419259725
-4.795875736505274,4.239868534245376,42.64705882352941,68.96551724137932,29,57.89473684210527,19,True,0.37489514262787166,0.8873413629053641,Weak/Mixed,evidence thresholds not met,13,13w,nq,new_release_decision,4.285963136169002,4,5.205010313304877,39,68,2.5613120264685305,0.12854515692177915,5.604001601511677,1.318038465342675,25,True,0.3768747290734153,0.8836693525229663,2.6497675404451995,0.17747512549328273,3,exploratory_release_aligned_hac,0.0009891201673385094,100.0,-14.745390070890815
-9.778102922613618,3.785260238500041,70.2576112412178,59.0,300,59.154929577464785,284,True,0.6393904051610131,0.4685512848205032,Tentative,positive but not fully supported,26,26w,nq,old_tff,10.253973860316272,108,8.235115399594713,127,427,0.362924215585275,0.13019991277798404,11.682329419084219,1.4283555587679473,192,True,0.06326103763409092,1.857352373716078,1.2051371574277905,0.16695019324901045,3,exploratory_release_aligned_hac,0.19642794413608014,100.0,-55.34879416054012
-11.480313087584527,-0.4681649236072459,44.49648711943794,46.8421052631579,190,53.672316384180796,177,True,0.3634396745440848,-0.9088303669179228,Weak/Mixed,evidence thresholds not met,26,26w,nq,old_legacy,11.914564698472295,83,10.579872053442328,237,427,-4.4862745042618295,-0.015762453815867307,8.410818079325455,-3.50374661914684,107,True,0.8263196874337665,-0.2194241140050607,-0.20209498501900336,-0.04329304152371322,3,exploratory_release_aligned_hac,0.16583996881443044,33.33333333333333,-55.34879416054012
-8.470381054510305,6.4052410771381405,55.73770491803278,67.22689075630252,238,62.91079812206573,213,True,0.42016630825604045,-0.8061327526155025,Weak/Mixed,evidence thresholds not met,26,26w,nq,new_structural,13.503700321419895,45,8.764633205503642,189,427,3.4406077080595336,0.052716130760019145,11.047222232242346,-2.4564780891775495,193,True,0.5222227225509228,0.6399229041106511,1.529036930031788,0.08190821854484037,3,exploratory_release_aligned_hac,0.17594812618186192,66.66666666666666,-46.783142653539485
-8.091371768694598,6.743835531754107,49.88290398126464,68.54460093896714,213,64.36170212765957,188,True,0.5478293499247087,-0.6010159694324835,Weak/Mixed,evidence thresholds not met,26,26w,nq,new_structural_tactical,13.174492353388905,40,8.906073479402426,214,427,3.911855412710998,0.06639146253281403,11.349229262423009,-1.8252630909658958,173,True,0.3308614946183089,0.9723800871119299,1.911930989357313,0.11158829880554433,3,exploratory_release_aligned_hac,0.14650541794469094,66.66666666666666,-46.783142653539485
-8.172780788924397,8.135694599845708,36.666666666666664,72.72727272727273,22,50.0,12,False,,,Weak/Mixed,directional edge HAC not estimable,26,26w,nq,new_release_decision,15.82704552304418,4,12.827707216314353,38,60,5.275221323722169,0.0812725159099991,13.460747960487904,-2.3662975625562765,18,True,0.4746776536568949,0.7148889691650204,1.6233981131372186,0.1731978893979865,3,exploratory_release_aligned_hac,0.04528334128517262,66.66666666666666,-26.48986760078664
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,russell2000,old_tff,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,russell2000,old_legacy,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
-1.5523579673094556,-0.07177001399045378,82.96296296296296,51.78571428571429,112,53.333333333333336,90,True,0.35626189813611975,0.9225113781309039,Weak/Mixed,evidence thresholds not met,1,1w,russell2000,new_structural,0.3190326215161675,88,-0.0672505346919578,23,135,-0.6150953025487632,0.05576402941142903,0.8348595469371629,0.5158269254209954,24,True,0.4837325313399904,0.700311916605062,0.23242587645613788,0.04035152173935887,3,exploratory_release_aligned_hac,0.026826246971281113,33.33333333333333,-8.574608733422906
